日付,店舗ID,商品ID,予測販売数量,発注数量,単価,予測売上金額
2025-10-15,4,しらすおむすび,1209.85,1452,165.0,199625.0
2025-10-16,4,しらすおむすび,1182.98,1420,165.0,195192.0
2025-10-17,4,しらすおむすび,1180.88,1417,165.0,194845.0
2025-10-18,4,しらすおむすび,1280.11,1536,165.0,211218.0
2025-10-19,4,しらすおむすび,1129.5,1355,165.0,186368.0
2025-10-20,4,しらすおむすび,1181.56,1418,165.0,194957.0
2025-10-21,4,しらすおむすび,1134.02,1361,165.0,187113.0
2025-10-15,4,Ｍアーモンドチョコレート,1209.85,1452,305.0,369004.0
2025-10-16,4,Ｍアーモンドチョコレート,1182.98,1420,305.0,360809.0
2025-10-17,4,Ｍアーモンドチョコレート,1180.88,1417,305.0,360168.0
2025-10-18,4,Ｍアーモンドチョコレート,1280.11,1536,305.0,390434.0
2025-10-19,4,Ｍアーモンドチョコレート,1129.5,1355,305.0,344498.0
2025-10-20,4,Ｍアーモンドチョコレート,1181.56,1418,305.0,360376.0
2025-10-21,4,Ｍアーモンドチョコレート,1134.02,1361,305.0,345876.0
2025-10-15,4,龍角散ののどすっきりタブ,1209.85,1452,200.0,241970.0
2025-10-16,4,龍角散ののどすっきりタブ,1182.98,1420,200.0,236596.0
2025-10-17,4,龍角散ののどすっきりタブ,1180.88,1417,200.0,236176.0
2025-10-18,4,龍角散ののどすっきりタブ,1280.11,1536,200.0,256022.0
2025-10-19,4,龍角散ののどすっきりタブ,1129.5,1355,200.0,225900.0
2025-10-20,4,龍角散ののどすっきりタブ,1181.56,1418,200.0,236312.0
2025-10-21,4,龍角散ののどすっきりタブ,1134.02,1361,200.0,226804.0
2025-10-15,4,忍者めし鋼グレープ味,1209.85,1452,148.0,179058.0
2025-10-16,4,忍者めし鋼グレープ味,1182.98,1420,148.0,175081.0
2025-10-17,4,忍者めし鋼グレープ味,1180.88,1417,148.0,174770.0
2025-10-18,4,忍者めし鋼グレープ味,1280.11,1536,148.0,189456.0
2025-10-19,4,忍者めし鋼グレープ味,1129.5,1355,148.0,167166.0
2025-10-20,4,忍者めし鋼グレープ味,1181.56,1418,148.0,174871.0
2025-10-21,4,忍者めし鋼グレープ味,1134.02,1361,148.0,167835.0
2025-10-15,4,◎もちもちくるみパン,1209.85,1452,128.0,154861.0
2025-10-16,4,◎もちもちくるみパン,1182.98,1420,128.0,151421.0
2025-10-17,4,◎もちもちくるみパン,1180.88,1417,128.0,151153.0
2025-10-18,4,◎もちもちくるみパン,1280.11,1536,128.0,163854.0
2025-10-19,4,◎もちもちくるみパン,1129.5,1355,128.0,144576.0
2025-10-20,4,◎もちもちくるみパン,1181.56,1418,128.0,151240.0
2025-10-21,4,◎もちもちくるみパン,1134.02,1361,128.0,145155.0
2025-10-15,4,ｉｎゼリーエネルギー,1209.85,1452,210.0,254068.0
2025-10-16,4,ｉｎゼリーエネルギー,1182.98,1420,210.0,248426.0
2025-10-17,4,ｉｎゼリーエネルギー,1180.88,1417,210.0,247985.0
2025-10-18,4,ｉｎゼリーエネルギー,1280.11,1536,210.0,268823.0
2025-10-19,4,ｉｎゼリーエネルギー,1129.5,1355,210.0,237195.0
2025-10-20,4,ｉｎゼリーエネルギー,1181.56,1418,210.0,248128.0
2025-10-21,4,ｉｎゼリーエネルギー,1134.02,1361,210.0,238144.0
2025-10-15,4,◎白生クロワッサン（ダブ,1209.85,1452,156.0,188737.0
2025-10-16,4,◎白生クロワッサン（ダブ,1182.98,1420,156.0,184545.0
2025-10-17,4,◎白生クロワッサン（ダブ,1180.88,1417,156.0,184217.0
2025-10-18,4,◎白生クロワッサン（ダブ,1280.11,1536,156.0,199697.0
2025-10-19,4,◎白生クロワッサン（ダブ,1129.5,1355,156.0,176202.0
2025-10-20,4,◎白生クロワッサン（ダブ,1181.56,1418,156.0,184323.0
2025-10-21,4,◎白生クロワッサン（ダブ,1134.02,1361,156.0,176907.0
2025-10-15,4,モンスター　リッパー,1209.85,1452,213.0,257698.0
2025-10-16,4,モンスター　リッパー,1182.98,1420,213.0,251975.0
2025-10-17,4,モンスター　リッパー,1180.88,1417,213.0,251527.0
2025-10-18,4,モンスター　リッパー,1280.11,1536,213.0,272663.0
2025-10-19,4,モンスター　リッパー,1129.5,1355,213.0,240584.0
2025-10-20,4,モンスター　リッパー,1181.56,1418,213.0,251672.0
2025-10-21,4,モンスター　リッパー,1134.02,1361,213.0,241546.0
2025-10-15,4,◎レモン香るティーソーダ,1209.85,1452,130.0,157280.0
2025-10-16,4,◎レモン香るティーソーダ,1182.98,1420,130.0,153787.0
2025-10-17,4,◎レモン香るティーソーダ,1180.88,1417,130.0,153514.0
2025-10-18,4,◎レモン香るティーソーダ,1280.11,1536,130.0,166414.0
2025-10-19,4,◎レモン香るティーソーダ,1129.5,1355,130.0,146835.0
2025-10-20,4,◎レモン香るティーソーダ,1181.56,1418,130.0,153603.0
2025-10-21,4,◎レモン香るティーソーダ,1134.02,1361,130.0,147423.0
2025-10-15,4,カルピス　ひんやりライチ,1209.85,1452,160.0,193576.0
2025-10-16,4,カルピス　ひんやりライチ,1182.98,1420,160.0,189277.0
2025-10-17,4,カルピス　ひんやりライチ,1180.88,1417,160.0,188941.0
2025-10-18,4,カルピス　ひんやりライチ,1280.11,1536,160.0,204818.0
2025-10-19,4,カルピス　ひんやりライチ,1129.5,1355,160.0,180720.0
2025-10-20,4,カルピス　ひんやりライチ,1181.56,1418,160.0,189050.0
2025-10-21,4,カルピス　ひんやりライチ,1134.02,1361,160.0,181443.0
2025-10-15,4,カルピスウォーター５００,1209.85,1452,160.0,193576.0
2025-10-16,4,カルピスウォーター５００,1182.98,1420,160.0,189277.0
2025-10-17,4,カルピスウォーター５００,1180.88,1417,160.0,188941.0
