日付,店舗ID,商品ID,予測販売数量,発注数量,単価,予測売上金額
2025-10-15,6,しらすおむすび,1209.85,1452,165.0,199625.0
2025-10-16,6,しらすおむすび,1162.0,1394,165.0,191730.0
2025-10-17,6,しらすおむすび,1180.88,1417,165.0,194845.0
2025-10-18,6,しらすおむすび,1280.11,1536,165.0,211218.0
2025-10-19,6,しらすおむすび,1134.36,1361,165.0,187169.0
2025-10-20,6,しらすおむすび,1169.18,1403,165.0,192915.0
2025-10-21,6,しらすおむすび,1134.02,1361,165.0,187113.0
2025-10-15,6,Ｍアーモンドチョコレート,1209.85,1452,305.0,369004.0
2025-10-16,6,Ｍアーモンドチョコレート,1162.0,1394,305.0,354410.0
2025-10-17,6,Ｍアーモンドチョコレート,1180.88,1417,305.0,360168.0
2025-10-18,6,Ｍアーモンドチョコレート,1280.11,1536,305.0,390434.0
2025-10-19,6,Ｍアーモンドチョコレート,1134.36,1361,305.0,345980.0
2025-10-20,6,Ｍアーモンドチョコレート,1169.18,1403,305.0,356600.0
2025-10-21,6,Ｍアーモンドチョコレート,1134.02,1361,305.0,345876.0
2025-10-15,6,龍角散ののどすっきりタブ,1209.85,1452,200.0,241970.0
2025-10-16,6,龍角散ののどすっきりタブ,1162.0,1394,200.0,232400.0
2025-10-17,6,龍角散ののどすっきりタブ,1180.88,1417,200.0,236176.0
2025-10-18,6,龍角散ののどすっきりタブ,1280.11,1536,200.0,256022.0
2025-10-19,6,龍角散ののどすっきりタブ,1134.36,1361,200.0,226872.0
2025-10-20,6,龍角散ののどすっきりタブ,1169.18,1403,200.0,233836.0
2025-10-21,6,龍角散ののどすっきりタブ,1134.02,1361,200.0,226804.0
2025-10-15,6,忍者めし鋼グレープ味,1209.85,1452,148.0,179058.0
2025-10-16,6,忍者めし鋼グレープ味,1162.0,1394,148.0,171976.0
2025-10-17,6,忍者めし鋼グレープ味,1180.88,1417,148.0,174770.0
2025-10-18,6,忍者めし鋼グレープ味,1280.11,1536,148.0,189456.0
2025-10-19,6,忍者めし鋼グレープ味,1134.36,1361,148.0,167885.0
2025-10-20,6,忍者めし鋼グレープ味,1169.18,1403,148.0,173039.0
2025-10-21,6,忍者めし鋼グレープ味,1134.02,1361,148.0,167835.0
2025-10-15,6,◎もちもちくるみパン,1209.85,1452,128.0,154861.0
2025-10-16,6,◎もちもちくるみパン,1162.0,1394,128.0,148736.0
2025-10-17,6,◎もちもちくるみパン,1180.88,1417,128.0,151153.0
2025-10-18,6,◎もちもちくるみパン,1280.11,1536,128.0,163854.0
2025-10-19,6,◎もちもちくるみパン,1134.36,1361,128.0,145198.0
2025-10-20,6,◎もちもちくるみパン,1169.18,1403,128.0,149655.0
